Name,Description,Director,Year,Runtime,Age Restriction,Ratings
Sound of Freedom,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,Alejandro Monteverde,2023,2h 11m,PG-13,"7.7
 (87K)"
Nyad,"The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida.",Jimmy Chin,2023,2h 1m,PG-13,"7.1
 (12K)"
Past Lives,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",Celine Song,2023,1h 45m,PG-13,"8.0
 (45K)"
Uncharted,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,2022,1h 56m,PG-13,"6.3
 (244K)"
Home Alone 2: Lost in New York,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Chris Columbus,1992,2h 0m,PG,"6.8
 (385K)"
Bottoms,Two unpopular queer high-school students start a fight club to have sex before graduation.,Emma Seligman,2023,1h 31m,R,"6.9
 (23K)"
Old Dads,"Three best friends become fathers later in life and find themselves battling preschool principals, millennial CEOs, and anything created after 1987.",Bill Burr,2023,1h 44m,R,"6.2
 (32K)"
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,2000,2h 35m,R,"8.5
 (1.6M)"
Rebel Moon: Part One - A Child of Fire,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.",Zack Snyder,2023,2h 13m,PG-13,
Memory,Sylvia is a social worker who leads a simple and structured life. This is blown open when Saul follows her home from their high school reunion. Their surprise encounter will profoundly impact both of them as they open the door to the past.,Michel Franco,2023,1h 40m,R,"7.0
 (358)"
Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,2021,2h 35m,PG-13,"8.0
 (730K)"
Argylle,An introverted spy novelist is drawn into the activities of a sinister underground syndicate.,Matthew Vaughn,2024,0h 0m,"2024
2h 15m",
A Christmas Story,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",Bob Clark,1983,1h 33m,PG,"7.9
 (163K)"
