Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Sheet Name,Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,Data St (SE-A),,,Data St (SE-B),,,Fund of SE (DS-B),,,Fund of SE (DS-A),,,Mktg Mgt (CS-C),,,Mktg Mgt (SE-C),,,,,,,Wednesday,,,B-229,
,S/w Req Engg (SE-B),,,S/w Req Engg (SE-C),,,Data St (SE-C),,,HCI (SE-B),,,,,,,,,,,,,Wednesday,,,B-230,
,,,,HCI (SE-D),,,HCI (SE-A),,,S/w Req Engg (SE-A),,,,,,,,,,,,,Wednesday,,,A-108,
,S/w Req Engg (SE-D),,,LA (SE-G),,,LA (SE-F),,,LA (SE-E),,,FSM,,,FSM,,,,,,,Wednesday,,,A-211,
,Comp Net (CS-E),,,SDA (CS-E),,,Automata (CS-C),,,Data St (SE-D),,,,,,Pak Studies (A),,,,,,,Wednesday,,,A-301,
,SDA (CS-C),,,Comp Net (CS-C/D),,,Comp Net (CS-A/Y),,,SDA (CS-A),,,"OS (CS-A, 21)",,,"OS (CS-B, 21)",,,,,,,Wednesday,,,A-302,
,Automata (CS-A),,,Automata (CS-Y),,,SDA (CS-D),,,Automata (CS-E),,,"DB (CS-C, 21)",,,,,,,,,,Wednesday,,,A-303,
,TBW (CS-G),,,Algo (DS-N),,,Stat & Modeling (CS-F/G),,,SDA (CS-Y),,,,,,,,,,,,,Wednesday,,,A-305,
,Stat & Modeling (CS-H),,,AI (CS-A),,,Robo Tech (CS-Robo),,,Stat & Modeling (CS-Z),,,"OOP (AI/DS-A, 22)",,,"OOP (AI/DS-B, 22)",,,,,,,Wednesday,,,A-310,
,Entre (AI-JK),,,Entre (AI-JK),,,MLOPs (AI-JK),,,Blockchain & Crypto (AI-JK),,,Comp Vision (AI-J),,,Comp Vision (AI-K),,,,,,,Wednesday,,,A-311,
,OS (AI-K),,,Knowl Rep (AI-K),,,Algo (AI-K),,,ML (AI-K),,,,,,,,,,,,,Wednesday,,,A-314,
,Algo (AI-J),,,ML (AI-J),,,Knowl Rep (AI-J),,,,,,,,,,,,,,,,Wednesday,,,A-315,
,TBW (DS-N),,,Stat & Modeling (CS-B),,,DIP,,,Cloud Comp (SE-A),,,,,,,,,,,,,Wednesday,,,A-316,
,SMD (A),,,TBW (DS-M),,,SMD (B),,,,,,Sir Hassan Raza,,,Sir Hassan Raza,,,,,,,Wednesday,,,C-110,
,,,,Web Prog,,,AI (CS-B),,,,,,,,,,,,,,,,Wednesday,,,Seminar A,
,,,,Deep Learning (A-202),,,,,,PPIT Seminar (Auditorium),,,,,,,,,,,,,Wednesday,,,,
,,,,Cloud Comp (SE-B) A-203,,,,,,,,,,,,,,,,,,,Wednesday,,,,
,,,,TBW (CS-F/H) A-201,,,,,,,,,,,,,,,,,,,Wednesday,,,,
,,,,BS CS (2022),,,BS DS (2022),,,BS AI (2022),,,BS CY (2022),,,BS SE (2022),,,,,,MS (DS),Thursday,,Repeat Courses,,
,,,,BS CS (2021),,,BS DS (2021),,,BS AI (2021),,,BS CY (2021),,,BS SE (2021),,,,,,MS (SE),Thursday,,MS Electives (All Prgrms),,
,,,,BS CS (2020),,,BS DS (2020),,,BS AI (2020),,,BS CY (2020),,,BS SE (2020),,,,,,MS (CNS),Thursday,,MS (AI),,
,08:30-09:50,,,10:00-11:20,,,11:30-12:50,,,01:00-02:20,,,02:30-03:50,,,03:55-05:15,,,,,,06:45-08:05,Thursday,,05:20-06:40 ,,Room
,AP (DS-A),,,PF (DS-A),,,Func Eng (DS-A) 11:30-01:15,,,,Func Eng (DS-B) 02:00-03:45,,,,,"Algo (CS-B,21)",,,,,,,Thursday,,Research Methodology (DS/AI),,C-301
,Calculus (CS-F),,,PF (CS-F),,,Calculus (AI-A),,,Ideology of Pak (AI-A) 01:15-03:00,,,,,,,,,,,,App Image Processing,Thursday,,Adv Comp Net,,C-302
,AP (CS-G),,,Calculus (CS-G),,,PF (CS-G),,,Func Eng (CY-A) 01:00-02:45,,,,Func Eng (DS-C)  03:00-04:45,,,,,,,,,Thursday,,Math Found of AI,,C-303
,SDA (CS-B),,,Comp Net (CS-B/Z),,,Comp Net (CS-F/H),,,Calculus (CS-E),,,Calculus (DS-A),,,,,,,,,ML for CySec,Thursday,,Cloud Computing,,C-304
,Calculus (DS-B),,,PF (DS-B),,,AP (DS-B),,,S/w Req Engg (SE-E),,,"OOP (SE-A, 22)",,,"OOP (SE-B, 22)",,,,,,Responsible Design,Thursday,,Emperical SE,,C-305
,PF (SE-A),,,AP (SE-A),,,Ideology of Pak (SE-A) 11:30-01:15,,,,Ideology of Pak (SE-B) 02:00-03:45,,,,,,,,,,,App Prog (CS/SE/CNS),Thursday,,Ethical Hacking,,C-307
,AP (SE-B),,,PF (SE-B),,,Calculus (SE-B),,,AP (CS-F),,,Calculus (SE-A),,,,,,,,,,Thursday,,,,C-308
,DAV (DS-M),,,DAV (DS-N),,,DataWare (DS-N) ,,,PDC (CY-M),,,Info Assurance (CY-M),,,,,,,,,,Thursday,,,,C-309
,COAL (CS-G),,,Discrete (CS-G),,,Web Engg (SE-Q),,,TBW (SE-Q),,,Fund of SPM (SE-Q),,,S/w Re-Engg (SE-Q),,,,,,,Thursday,,,,C-310
